table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.San Francisco County, California,"870,518","811,935","807,774","808,988"
.San Joaquin County, California,"780,617","788,354","794,293","800,965"
.San Luis Obispo County, California,"281,884","279,464","282,046","281,639"
.San Mateo County, California,"762,479","739,149","728,929","726,353"
.Santa Barbara County, California,"448,424","437,521","443,915","441,257"
.Santa Clara County, California,"1,931,168","1,885,173","1,878,335","1,877,592"
.Santa Cruz County, California,"270,474","260,475","264,240","261,547"
.Shasta County, California,"182,002","182,135","180,937","180,366"
.Sierra County, California,"3,225","3,294","3,222","3,200"
.Siskiyou County, California,"43,995","44,139","43,786","42,905"
.Solano County, California,"452,723","450,653","448,885","449,218"
.Sonoma County, California,"488,282","484,519","482,669","481,812"
.Stanislaus County, California,"553,257","552,723","551,226","551,430"
.Sutter County, California,"99,479","99,152","98,569","97,948"
.Tehama County, California,"65,687","65,446","65,299","64,896"
.Trinity County, California,"16,091","16,082","15,778","15,670"
.Tulare County, California,"473,914","477,176","477,884","479,468"
.Tuolumne County, California,"55,379","55,131","54,587","54,204"
.Ventura County, California,"843,371","839,471","832,871","829,590"
.Yolo County, California,"216,291","213,141","222,018","220,544"
.Yuba County, California,"81,958","83,227","84,353","85,722"
.Adams County, Colorado,"520,500","523,544","527,509","533,365"
.Alamosa County, Colorado,"16,377","16,579","16,587","16,655"
.Arapahoe County, Colorado,"655,272","656,855","656,269","656,061"
.Archuleta County, Colorado,"13,424","13,806","13,989","14,189"
.Baca County, Colorado,"3,480","3,490","3,435","3,344"
.Bent County, Colorado,"5,473","5,339","5,439","5,681"
.Boulder County, Colorado,"330,938","327,084","327,339","326,831"
.Broomfield County, Colorado,"74,490","75,411","76,195","76,860"
.Chaffee County, Colorado,"19,484","19,741","20,265","20,617"
.Cheyenne County, Colorado,"1,746","1,719","1,731","1,727"
.Clear Creek County, Colorado,"9,393","9,457","9,367","9,147"
.Conejos County, Colorado,"7,451","7,582","7,587","7,521"
.Costilla County, Colorado,"3,502","3,613","3,615","3,628"
.Crowley County, Colorado,"5,688","5,735","5,627","5,636"
.Custer County, Colorado,"4,723","5,063","5,337","5,534"
.Delta County, Colorado,"31,056","31,392","31,560","31,746"
.Denver County, Colorado,"717,606","711,467","713,453","716,577"
.Dolores County, Colorado,"2,331","2,375","2,460","2,513"
.Douglas County, Colorado,"360,323","369,783","375,937","383,906"
.Eagle County, Colorado,"55,657","55,774","55,218","54,381"
.Elbert County, Colorado,"26,216","27,159","27,842","28,806"
.El Paso County, Colorado,"732,384","737,287","740,596","744,215"
.Fremont County, Colorado,"48,878","49,237","49,616","50,318"
.Garfield County, Colorado,"61,794","62,107","62,256","62,707"
.Gilpin County, Colorado,"5,820","5,893","5,886","5,926"
.Grand County, Colorado,"15,747","15,851","15,734","15,935"
.Gunnison County, Colorado,"16,950","17,294","17,320","17,321"
.Hinsdale County, Colorado,788,773,771,765
.Huerfano County, Colorado,"6,827","6,934","7,097","7,055"
.Jackson County, Colorado,"1,379","1,359","1,314","1,309"
.Jefferson County, Colorado,"583,081","580,703","575,811","576,366"
.Kiowa County, Colorado,"1,455","1,454","1,434","1,384"
.Kit Carson County, Colorado,"7,062","6,927","6,983","6,994"
.Lake County, Colorado,"7,408","7,395","7,346","7,365"
.La Plata County, Colorado,"55,673","56,169","56,553","56,407"
.Larimer County, Colorado,"359,923","362,747","367,577","370,771"
.Las Animas County, Colorado,"14,490","14,334","14,311","14,348"
.Lincoln County, Colorado,"5,662","5,473","5,510","5,480"
.Logan County, Colorado,"21,210","21,006","20,792","20,619"
.Mesa County, Colorado,"156,011","157,439","158,531","159,681"
.Mineral County, Colorado,874,929,931,944
.Moffat County, Colorado,"13,269","13,165","13,205","13,327"
.Montezuma County, Colorado,"25,887","26,234","26,467","26,531"
.Montrose County, Colorado,"42,818","43,236","43,807","44,156"
.Morgan County, Colorado,"29,076","29,006","29,266","29,524"
.Otero County, Colorado,"18,664","18,527","18,311","18,136"
.Ouray County, Colorado,"4,882","5,063","5,103","5,176"
.Park County, Colorado,"17,418","17,744","17,921","18,117"
.Phillips County, Colorado,"4,527","4,502","4,448","4,476"
.Pitkin County, Colorado,"17,355","17,337","16,847","16,640"
.Prowers County, Colorado,"12,017","11,990","11,873","11,751"
.Pueblo County, Colorado,"168,337","169,316","169,472","169,422"
.Rio Blanco County, Colorado,"6,520","6,442","6,549","6,569"
.Rio Grande County, Colorado,"11,541","11,406","11,337","11,188"
